Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
10/30/2024,11/1/2024,2188,SHELL 7533 CER HEU 053,Gas/Automotive,7.82,
10/29/2024,11/1/2024,2188,MOXY STUTTGART AIRPORT,Lodging,197.6,
10/30/2024,11/1/2024,2188,Raststaette Wonnegau O,Other Services,1.08,
10/30/2024,11/1/2024,2188,Esso Station Worms 675,Gas/Automotive,41.55,
10/30/2024,11/1/2024,2188,PATCH SHOPT/GAS,Merchandise,35.43,
10/30/2024,11/1/2024,2188,PANZER PATCH SPUDZ,Merchandise,17.5,
10/30/2024,11/1/2024,2188,PANZER PATCH SPUDZ,Merchandise,8.48,
10/30/2024,11/1/2024,2188,PAN PATCH SUBWAY SFR G,Merchandise,16.57,
10/30/2024,11/1/2024,2188,AAFES-PANZ DUNKIN DQPS,Merchandise,4.78,
10/30/2024,11/1/2024,2188,AAFES SEHNE BAKERY QPS,Merchandise,3.49,
10/28/2024,11/1/2024,2188,MOXY STUTTGART AIRPORT,Lodging,267.23,
10/29/2024,11/1/2024,2188,Almas Bowls and Rolls,Dining,30.32,
10/28/2024,11/1/2024,2188,Hilton Mainz,Lodging,36.86,
10/29/2024,11/1/2024,2188,JET-Tankstelle,Gas/Automotive,16.05,
10/29/2024,11/1/2024,2188,PAN PATCH SUBWAY SFR G,Merchandise,10.78,
10/29/2024,11/1/2024,2188,AAFES-PANZ DUNKIN DQPS,Merchandise,4.78,
10/29/2024,11/1/2024,2188,AAFES SEHNE BAKERY QPS,Merchandise,3.49,
10/29/2024,11/1/2024,2188,Amazon Prime*X891X1A23,Other Services,15.62,
10/28/2024,11/1/2024,2188,Bauhaus,Merchandise,112.14,
10/28/2024,11/1/2024,2188,MCDONALDS 60248,Dining,13.53,
10/28/2024,11/1/2024,2188,Esso Station Mainz-Kas,Gas/Automotive,6.27,
10/28/2024,11/1/2024,2188,Esso Station Mainz-Kas,Gas/Automotive,27.97,
10/28/2024,11/1/2024,2188,AAFES-WIE CLAY DUNKQ27,Merchandise,4.68,
10/28/2024,11/1/2024,2188,Hilton Mainz,Lodging,1895.94,
10/28/2024,11/1/2024,2188,Wundermart,Merchandise,8.11,
10/26/2024,11/1/2024,2188,CWT US COM89010210266121,Other Travel,7.5,
10/27/2024,11/1/2024,2188,WIENER FEINBACKEREI  7,Dining,2.82,
10/27/2024,11/1/2024,2188,Wundermart,Merchandise,13.03,
10/27/2024,11/1/2024,2188,Wundermart,Merchandise,12.16,
10/27/2024,11/1/2024,2188,Wundermart,Merchandise,16.49,
10/27/2024,11/1/2024,2188,Wundermart,Merchandise,8.43,
10/26/2024,11/1/2024,2188,Shell 1522,Gas/Automotive,5.96,
10/27/2024,11/1/2024,2188,Spectrum,Phone/Cable,51.99,
10/26/2024,11/1/2024,2188,MAIN TAUNUS GOLFANLAGE,Merchandise,9.76,
10/26/2024,11/1/2024,2188,MAIN TAUNUS GOLFANLAGE,Merchandise,32.52,
10/26/2024,11/1/2024,2188,MAIN TAUNUS GOLFANLAGE,Merchandise,97.57,
10/26/2024,11/1/2024,2188,GOLFSHOP KORPA TRADING,Merchandise,90.41,
10/26/2024,11/1/2024,2188,KFC MAINZ KASTEL,Dining,5.95,
10/26/2024,11/1/2024,2188,KFC MAINZ KASTEL,Dining,31.41,
10/26/2024,11/1/2024,2188,Wundermart,Merchandise,4.92,
10/26/2024,11/1/2024,2188,Wundermart,Merchandise,16.22,
10/26/2024,11/1/2024,2188,Wundermart,Merchandise,9.29,
10/25/2024,11/1/2024,2188,ITALIANGRILL WIESBADEN,Dining,23.01,
10/26/2024,11/1/2024,2188,Microsoft*Xbox Game Pa,Entertainment,9.99,
10/25/2024,11/1/2024,2188,Eisgrub-Braeu,Dining,31.14,
10/25/2024,11/1/2024,2188,AAFES-WIE CLAY DUNKQ27,Merchandise,4.68,
10/25/2024,11/1/2024,2188,ATLANTIX FISH AND CHIP,Dining,8.52,
10/25/2024,11/1/2024,2188,Wundermart,Merchandise,8.09,
10/25/2024,11/1/2024,2188,Wundermart,Merchandise,8.09,
10/24/2024,11/1/2024,2188,AAFES-WIE CLAY DUNKQ27,Merchandise,4.68,
10/24/2024,11/1/2024,2188,AAFES-WIE CLAY BUN-D,Merchandise,21.95,
10/24/2024,11/1/2024,2188,dean & david,Dining,28.12,
10/24/2024,11/1/2024,2188,Wundermart,Merchandise,16.18,
10/23/2024,11/1/2024,2188,AAFES-WIE CLAY DUNKQ27,Merchandise,4.68,
10/23/2024,11/1/2024,2188,Schaefer Dein Baecker,Dining,7.75,
10/22/2024,11/1/2024,2188,MCDONALDS 60248,Dining,4.23,
10/22/2024,11/1/2024,2188,AAFES SUBWAY WIESBAQ66,Merchandise,11.84,
10/22/2024,11/1/2024,2188,Pommes Freunde,Dining,16.42,
