Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2024-03-21,2024-03-22,2188,DIERBERGS MARKET PLA,Merchandise,50.36,
2024-03-21,2024-03-22,2188,WWW.LANDINGSATSPIRIT.C,Other,70.00,
2024-03-20,2024-03-20,2188,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,1872.68
2024-03-18,2024-03-20,2188,QDOBA 1755,Dining,11.31,
2024-03-18,2024-03-19,2188,WALGREENS #7185,Healthcare,29.99,
2024-03-15,2024-03-16,2188,TARGET        00013532,Merchandise,48.35,
2024-03-14,2024-03-16,2188,SHAKE SHACK - 1352,Dining,19.61,
2024-03-14,2024-03-16,2188,RAISING CANES 0247,Dining,19.18,
2024-03-13,2024-03-14,2188,EXXON ON THE RUN #602,Gas/Automotive,8.49,
2024-03-13,2024-03-14,2188,EXXON ON THE RUN #602,Gas/Automotive,9.03,
2024-03-13,2024-03-14,2188,DIERBERGS MARKET PLA,Merchandise,21.46,
2024-03-13,2024-03-14,2188,WM SUPERCENTER #2600,Merchandise,91.49,
2024-03-12,2024-03-14,2188,CHICK-FIL-A #01976,Dining,21.28,
2024-03-12,2024-03-14,2188,QDOBA 2172,Dining,14.95,
2024-03-11,2024-03-13,2188,ME-CHESTERFIELD-MICROS,Dining,56.84,
2024-03-10,2024-03-12,2188,ST. LOUIS PARKING COMP,Gas/Automotive,10.00,
2024-03-10,2024-03-11,2188,DIERBERGS MARKET PLA,Merchandise,63.68,
2024-03-11,2024-03-11,2188,GATEWAY ARCH ONLINE,Entertainment,75.00,
2024-03-10,2024-03-11,2188,SQ *ARCH CAFE LLC,Dining,14.00,
2024-03-09,2024-03-11,2188,CITYOFSTLOUIS-LAMBERT,Gas/Automotive,5.00,
2024-03-09,2024-03-11,2188,EXXON ON THE RUN #602,Gas/Automotive,30.37,
2024-03-09,2024-03-11,2188,CHIPOTLE 0918,Dining,60.84,
2024-03-09,2024-03-11,2188,MCDONALD'S F7678,Dining,21.05,
2024-03-08,2024-03-11,2188,SOUTHWES  5264232322949,Airfare,80.00,
2024-03-08,2024-03-09,2188,DIERBERGS MARKET PLA,Merchandise,25.66,
2024-03-08,2024-03-09,2188,HULU 877-8244858 CA,Phone/Cable,81.99,
2024-03-06,2024-03-07,2188,MO DMV,Other Services,,20.14
2024-03-06,2024-03-07,2188,MO DMV,Other Services,12.49,
2024-03-05,2024-03-06,2188,DIERBERGS MARKET PLA,Merchandise,42.01,
2024-03-05,2024-03-06,2188,MO DMV,Other Services,20.14,
2024-03-04,2024-03-05,2188,DIERBERGS MARKET PLA,Merchandise,37.95,
2024-03-03,2024-03-04,2188,WM SUPERCENTER #2600,Merchandise,56.11,
2024-03-02,2024-03-04,2188,SOUTHWES  5262263985843,Airfare,1439.92,
2024-03-02,2024-03-04,2188,EXXON ON THE RUN #523,Gas/Automotive,25.77,
2024-03-02,2024-03-04,2188,U-HAUL-CTR-W-COUNT #73,Car Rental,87.96,
2024-03-02,2024-03-04,2188,MCDONALD'S F7678,Dining,13.24,
2024-03-01,2024-03-02,2188,Microsoft*Microsoft 36,Entertainment,6.99,
2024-02-29,2024-03-01,2188,DIERBERGS MARKET PLA,Merchandise,41.24,
2024-02-29,2024-03-01,2188,WALGREENS #7185,Health Care,16.30,

